n,t,Term
Antonio Robles-Gómez,management mechanism;topological change;network service;change assimilation process;new set;new topology;interconnection network;routing function;network reconfiguration;new technology,"['manag', 'mechan', 'topolog', 'chang', 'network', 'servic', 'chang', 'assimil', 'process', 'new', 'set', 'new', 'topolog', 'interconnect', 'network', 'rout', 'function', 'network', 'reconfigur', 'new', 'technolog']"
J. Šnajder,morphological normalisation;lexical association measure;polarity ranking task;sentiment classification task;Croatian language;different level;question classification;semantic similarity;sentiment lexicon;text classification,"['morpholog', 'normalis', 'lexic', 'associ', 'measur', 'polar', 'rank', 'task', 'sentiment', 'classif', 'task', 'croatian', 'languag', 'differ', 'level', 'question', 'classif', 'semant', 'similar', 'sentiment', 'lexicon', 'text', 'classif']"
Jon G. Riecke,computability theory;call-by-value language;functional language;natural number;computational structuresProgramming language semantics;programming language;object extension;type system;side effect;negative result,"['comput', 'theori', 'call-by-valu', 'languag', 'function', 'languag', 'natur', 'number', 'comput', 'structuresprogram', 'languag', 'semant', 'program', 'languag', 'object', 'extens', 'type', 'system', 'side', 'effect', 'neg', 'result']"
Mathieu Serrurier,possibility distribution;possibilistic classifier;Inductive Logic Programming;training example;fuzzy rule;numerical data;concept learning;continuous data;data representation;imperfect data,"['possibl', 'distribut', 'possibilist', 'classifi', 'induct', 'logic', 'program', 'train', 'exampl', 'fuzzi', 'rule', 'numer', 'data', 'concept', 'learn', 'continu', 'data', 'data', 'represent', 'imperfect', 'data']"
Amir Pnueli,parameterized system;temporal logic;liveness property;reactive system;deductive verification;formal verification;automatic verification;verification condition;concurrent program;finite-state system,"['parameter', 'system', 'tempor', 'logic', 'live', 'properti', 'reactiv', 'system', 'deduct', 'verif', 'formal', 'verif', 'automat', 'verif', 'verif', 'condit', 'concurr', 'program', 'finite-st', 'system']"
S. Goedecker,new algorithm;Tight Binding Molecular Dynamics;time step;parallel computer;conventional algorithm;intrinsically parallel algorithm;standard algorithm;high-end system;million dollar;electronic structure,"['new', 'algorithm', 'tight', 'bind', 'molecular', 'dynam', 'time', 'step', 'parallel', 'comput', 'convent', 'algorithm', 'intrins', 'parallel', 'algorithm', 'standard', 'algorithm', 'high-end', 'system', 'million', 'dollar', 'electron', 'structur']"
Miguel A. Padrón,tetrahedral mesh;right-type tetrahedron;8-tetrahedra longest-edge partition;tetrahedral grid;computational aspect;tetrahedral refinement algorithm;numerical experiment;right tetrahedral mesh;8-tetrahedra longest-edge;8-tetrahedra longest-edge partitionIn,"['tetrahedr', 'mesh', 'right-typ', 'tetrahedron', '8-tetrahedra', 'longest-edg', 'partit', 'tetrahedr', 'grid', 'comput', 'aspect', 'tetrahedr', 'refin', 'algorithm', 'numer', 'experi', 'right', 'tetrahedr', 'mesh', '8-tetrahedra', 'longest-edg', '8-tetrahedra', 'longest-edg', 'partitionin']"
J N Lyness,lattice rule;dual lattice;rules Q;fields complex algebra;four-dimensional lattice rule;integration lattice;lattice rulesAn elementary introduction;lattice rulesRemark;optimal integration lattice;s-dimensional lattice rule,"['lattic', 'rule', 'dual', 'lattic', 'rule', 'q', 'field', 'complex', 'algebra', 'four-dimension', 'lattic', 'rule', 'integr', 'lattic', 'lattic', 'rulesan', 'elementari', 'introduct', 'lattic', 'rulesremark', 'optim', 'integr', 'lattic', 's-dimension', 'lattic', 'rule']"
Yves Burnod,Phasic DA release;neural network model;DA modulation;hippocampo-cortical model;integrated model;model cognitive processing;model creature;model distinguishes;model result;model single cell,"['phasic', 'da', 'releas', 'neural', 'network', 'model', 'da', 'modul', 'hippocampo-cort', 'model', 'integr', 'model', 'model', 'cognit', 'process', 'model', 'creatur', 'model', 'distinguish', 'model', 'result', 'model', 'singl', 'cell']"
Ashok K. Murugavel,benchmark circuit;average power;power estimation;power optimization;average power dissipation;dynamic power estimation;estimated power consumption;square estimation;gate sizing;better power reduction,"['benchmark', 'circuit', 'averag', 'power', 'power', 'estim', 'power', 'optim', 'averag', 'power', 'dissip', 'dynam', 'power', 'estim', 'estim', 'power', 'consumpt', 'squar', 'estim', 'gate', 'size', 'better', 'power', 'reduct']"
Anthony Bonato,web graph;infinite random graph;ncc property;certain graphs H;graphs M;graphs R;n-ordered graph;random graph;new model;cop number,"['web', 'graph', 'infinit', 'random', 'graph', 'ncc', 'properti', 'certain', 'graph', 'h', 'graph', 'm', 'graph', 'r', 'n-order', 'graph', 'random', 'graph', 'new', 'model', 'cop', 'number']"
Kjetil Fagerholt,shipping company;Ship Routing;scheduling problem;supply vessel planning problem;planning problem;computational result;natural gas;fleet planning problem;important planning problem;inventory management problem,"['ship', 'compani', 'ship', 'rout', 'schedul', 'problem', 'suppli', 'vessel', 'plan', 'problem', 'plan', 'problem', 'comput', 'result', 'natur', 'ga', 'fleet', 'plan', 'problem', 'import', 'plan', 'problem', 'inventori', 'manag', 'problem']"
Michail Salampasis,blind user;information retrieval environment;web page;remote collection;blind people;information retrieval;information source;information need;source selection;appropriate information source,"['blind', 'user', 'inform', 'retriev', 'environ', 'web', 'page', 'remot', 'collect', 'blind', 'peopl', 'inform', 'retriev', 'inform', 'sourc', 'inform', 'need', 'sourc', 'select', 'appropri', 'inform', 'sourc']"
Antoni Mazurkiewicz,local computation;triangular graph;bilateral negotiation;negotiation protocol;local algorithm;closed graph;derivable graph;local procedure;local reducibility;considered issue,"['local', 'comput', 'triangular', 'graph', 'bilater', 'negoti', 'negoti', 'protocol', 'local', 'algorithm', 'close', 'graph', 'deriv', 'graph', 'local', 'procedur', 'local', 'reduc', 'consid', 'issu']"
E. Dubinsky,computer science;Discrete Mathematics;faculty member;college faculty;beginning computer science course;computer activity;computer construction;computer education;computer science course;computer science department,"['comput', 'scienc', 'discret', 'mathemat', 'faculti', 'member', 'colleg', 'faculti', 'begin', 'comput', 'scienc', 'cours', 'comput', 'activ', 'comput', 'construct', 'comput', 'educ', 'comput', 'scienc', 'cours', 'comput', 'scienc', 'depart']"
James A. Malcolm,international conference;landscape analysis;multicast routing;trustworthy authentication;local search;International Workshop;Security Protocols;routing task;copyright document;security attack,"['intern', 'confer', 'landscap', 'analysi', 'multicast', 'rout', 'trustworthi', 'authent', 'local', 'search', 'intern', 'workshop', 'secur', 'protocol', 'rout', 'task', 'copyright', 'document', 'secur', 'attack']"
Grant Malcolm,imperative program;concurrent system;Algebraic Semantics;global language;ontology language;query language;support modularisation;sheaf theory;Imperative Programs;functional view,"['imper', 'program', 'concurr', 'system', 'algebra', 'semant', 'global', 'languag', 'ontolog', 'languag', 'queri', 'languag', 'support', 'modularis', 'sheaf', 'theori', 'imper', 'program', 'function', 'view']"
G. I. Sivashinsky,cellular flame;flame interface;planar flame;premixed flame;separate self-drifting flame ball;curved flame frontA;flame ballsA;hydrodynamic flame instabilitySecondary infinite-period;nonsteady spherical flame frontsThe;planar propagating flame,"['cellular', 'flame', 'flame', 'interfac', 'planar', 'flame', 'premix', 'flame', 'separ', 'self-drift', 'flame', 'ball', 'curv', 'flame', 'fronta', 'flame', 'ballsa', 'hydrodynam', 'flame', 'instabilitysecondari', 'infinite-period', 'nonsteadi', 'spheric', 'flame', 'frontsth', 'planar', 'propag', 'flame']"
Thomas M. Warschko,efficient parallel computing;Parastation architecture;Parastation communication hardware;parallel application;parallel computingHigh Performance;parallel computingThe Parastation communication;parallel programming environment;AlphaGeneration workstations;clustering workstations;off-the-shelf workstations,"['effici', 'parallel', 'comput', 'parast', 'architectur', 'parast', 'commun', 'hardwar', 'parallel', 'applic', 'parallel', 'computinghigh', 'perform', 'parallel', 'computingth', 'parast', 'commun', 'parallel', 'program', 'environ', 'alphagener', 'workstat', 'cluster', 'workstat', 'off-the-shelf', 'workstat']"
Sid-Ahmed-Ali Touati,available register;register constraint;register need;register pressure;register requirement;periodic register allocation;address register;k address register;model register constraint;periodic register saturation,"['avail', 'regist', 'regist', 'constraint', 'regist', 'need', 'regist', 'pressur', 'regist', 'requir', 'period', 'regist', 'alloc', 'address', 'regist', 'k', 'address', 'regist', 'model', 'regist', 'constraint', 'period', 'regist', 'satur']"
Michael Malcolm,linear system;application program;system software;different operating system;floating-point number system;portable real-time operating system;Thoth operating system;Thoth system;Waterloo Port operating system;active file system,"['linear', 'system', 'applic', 'program', 'system', 'softwar', 'differ', 'oper', 'system', 'floating-point', 'number', 'system', 'portabl', 'real-tim', 'oper', 'system', 'thoth', 'oper', 'system', 'thoth', 'system', 'waterloo', 'port', 'oper', 'system', 'activ', 'file', 'system']"
Paolo Costa,vehicular network;TeenyLime middlewareWireless sensor network;network infrastructure;network performance;network performance variability;network traffic;overlay network;physical network topology;sensor network;virtual network,"['vehicular', 'network', 'teenylim', 'middlewarewireless', 'sensor', 'network', 'network', 'infrastructur', 'network', 'perform', 'network', 'perform', 'variabl', 'network', 'traffic', 'overlay', 'network', 'physic', 'network', 'topolog', 'sensor', 'network', 'virtual', 'network']"
Nicola Joy Ferrier,human motion;complex motion;compact motion representation;complex human motion;concatenation motion segment;concise motion;crude motion;encoding motion;full motion;human skilled motion,"['human', 'motion', 'complex', 'motion', 'compact', 'motion', 'represent', 'complex', 'human', 'motion', 'concaten', 'motion', 'segment', 'concis', 'motion', 'crude', 'motion', 'encod', 'motion', 'full', 'motion', 'human', 'skill', 'motion']"
Jean-Louis Ferrier,International Conference;Control Automation;Intelligent Control Systems;selected paper;Program Committee;Systems Modeling;full paper;paper submission;Selected Papers;present book,"['intern', 'confer', 'control', 'autom', 'intellig', 'control', 'system', 'select', 'paper', 'program', 'committe', 'system', 'model', 'full', 'paper', 'paper', 'submiss', 'select', 'paper', 'present', 'book']"
Fabrizio Costa,small molecule;maximum common subgraphs;supervised learning;predictive performance;decomposition kernel;output structure;statistical relational;natural language processing;predictive learning;statistical learning principle,"['small', 'molecul', 'maximum', 'common', 'subgraph', 'supervis', 'learn', 'predict', 'perform', 'decomposit', 'kernel', 'output', 'structur', 'statist', 'relat', 'natur', 'languag', 'process', 'predict', 'learn', 'statist', 'learn', 'principl']"
Gianni Costa,XML document;clustering XML document;XML corpus;partitioning XML document;classical point data;data mining tool;real data;structural component;Effective XML Classification;Effective XML Clustering,"['xml', 'document', 'cluster', 'xml', 'document', 'xml', 'corpu', 'partit', 'xml', 'document', 'classic', 'point', 'data', 'data', 'mine', 'tool', 'real', 'data', 'structur', 'compon', 'effect', 'xml', 'classif', 'effect', 'xml', 'cluster']"
O. L. V. Costa,Markov chain;sufficient condition;Markov jump;linear system;optimal control;discrete-time linear system;control variable;Markov kernel;control problem;risk control,"['markov', 'chain', 'suffici', 'condit', 'markov', 'jump', 'linear', 'system', 'optim', 'control', 'discrete-tim', 'linear', 'system', 'control', 'variabl', 'markov', 'kernel', 'control', 'problem', 'risk', 'control']"
Ivan G. Costa,gene expression;gene expression data;supplementary data;data set;gene expression data set;available gene expression data;clustering gene expression data;co-expressed gene;functionally related gene;gene expression profile,"['gene', 'express', 'gene', 'express', 'data', 'supplementari', 'data', 'data', 'set', 'gene', 'express', 'data', 'set', 'avail', 'gene', 'express', 'data', 'cluster', 'gene', 'express', 'data', 'co-express', 'gene', 'function', 'relat', 'gene', 'gene', 'express', 'profil']"
